Name,Mode,MinExpLevel10,MaxExpLevel10,MinRepLevel,Priority,TID,TID2,RequiredTutorial,AnimationExportName,AnimationTitleTID,ConfirmButtonTID,FileName,HumanExportName,DelayMS,AutoCompleteOtherTutorial,ReplayTutorial,Target,ShopTarget,Action,StartAction,EndAction,RequiredCount,PeopleOrder,ArrowXOffset,ArrowYOffset,GoodReward,PositionX,PositionY,Disabled,TargetData,CinematicDelayMS,ResetOtherTutorial,TutorialGroup,HideIsoScarecrow,OnRails,XpReward,EnsureLevel,CameraOffsetX,CameraOffsetY,FloatingHeadTID,ShowInteractiveAnimation,InteractiveIconName,InteractiveAnimationOffsetX,InteractiveAnimationOffsetY,ShouldHideArrow,FloatingHeadLeftAnchor,FloatingHeadTopAnchor,FloatingHeadLayer,ShowHandSlideAnimation,ShouldShowShopArrow,RestrictedCameraBounds,SetCameraMinScaleMobile,SetCameraMinScaleTablet,FontSize,HideFloatingHeadWhenGOHUDIsVisible,TargetScrollScaleMobile,TargetScrollScaleTablet,ScrollDelayMS,SkipWaitForHud,RestrictedBoundsAreRelative,FloatingHeadExtraTID,HideFloatingHeadWhenShopIsVisible
Step24: SpeedUp Bread,home,20,,,30,,,,,,,sc/humans.sc,scarecrow,,Step23: Bake Bread,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step25: Build Feed Mill,home,30,,,31,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step26: Place fields,home,30,,,32,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,9,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step27: Plant Crops,home,30,,,33,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step28: Second Guest appear,home,30,,,34,,,,,,,sc/humans.sc,scarecrow,200,,,,,InstantComplete,,,,B,,-120,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step29: Guest appear 2,home,30,,,35,,,,,,,sc/humans.sc,popup_joan,,,,,,InstantComplete,,,,B,,-120,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step30: Guest appear 3,home,30,,,36,,,,,,,sc/humans.sc,popup_joan,,,,,,InstantComplete,,,,B,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step31: General advice,home,30,39,,37,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step32: Car Arrives,home,40,,,38,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step33: Complete First Order,home,40,,,39,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,40,-50,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step34: Collect the coins,home,40,,,40,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,-20,-50,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step35: Complete Second Order,home,40,,,41,,,,,,,sc/humans.sc,scarecrow_card,,,,,,InstantComplete,,,,,40,-50,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step36: Keep up the good work!,home,40,49,,42,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step37: Ai visiting 1,home,50,,,43,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,C,,-120,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step38: Ai visiting 2,home,50,,,44,,,,,,,sc/humans.sc,popup_greg,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step39: Ai visiting 3,home,50,,,45,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step40: Ai visiting 4,home,50,,,46,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step41: Ai visiting 6,ai,50,,,47,,,,,,,sc/humans.sc,popup_greg,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step42: Ai visiting 7,ai,50,,,48,,,,,,,sc/humans.sc,popup_greg,,,,,,InstantComplete,,,,,-10000,-10000,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step43: Ai visiting 8,ai,50,,,49,,,,,,,sc/humans.sc,popup_greg,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step44: Ai visiting 9,home,50,,,50,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,Default,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step45: Buy Cow Habitat,home,60,,,51,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step46: Buy a cow,home,60,,,52,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step47: Feed a cow,home,60,,,53,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,1,,,-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step48: Cow advice,home,60,,,54,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step49: Dairy,home,60,,,55,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step50: Roadside shop,home,70,,,56,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step51: Roadside shop2,home,70,,,57,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step52: Mailbox,home,70,,,58,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step53: Indigo,home,130,,,60,,,,tutorial_swap_fan_page,TID_ANIMATION_6th crop,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step25b: Rotating,home,65,,,59,,,,tutorial_edit_objects,TID_ANIMATION_EditObjects,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step54: Vouchers and Pets 1,home,200,,,61,,,,,,TID_TUTORIAL_58a,sc/humans.sc,popup_pets,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step55: Vouchers and Pets 1,home,200,,,62,,,,,,TID_TUTORIAL_59a,sc/humans.sc,popup_pets,,,,,,InstantComplete,,,,,,,Voucher1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step56: First hungry pet,home,,,,63,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step56: Pet done eating,home,,,,64,,,,,,,sc/humans.sc,scarecrow,,Step56: First hungry pet,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step57: Pet sleeping,home,,,,65,,,,,,,sc/humans.sc,scarecrow,,Step56: Pet done eating,,,,InstantComplete,,,,,,-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step58: Pet tapped,home,,,,65,,,Step57: Pet sleeping,,,,sc/humans.sc,scarecrow,2000,Step57: Pet sleeping,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step59: Pizza,home,330,,,136,,,Step125: Helper crops,tutorial_swap_fan_page_2,TID_ANIMATION_Pizzas,,sc/humans.sc,scarecrow,10000,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step60: Docks unlocked,home,170,,,67,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step61: Expnasion unlocked,home,220,,,68,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step62: Mine unlocked,home,240,,,69,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step63: Boat,home,170,,,70,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step64: Leaderboard,home,170,,,71,,,Step63: Boat,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step65: Postman intro,home,150,,,1,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step66: Follow postman,home,150,,,2,,,,,,,sc/humans.sc,,,,,,,InstantComplete,,,,,,-120,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step67: Select gift mailbox,home,150,,,3,,,,,,,sc/humans.sc,,,,,,,InstantComplete,,,,,15,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step68: Letters explained,home,150,,,4,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step69: Letters explained2,home,150,,,5,,,,tutorial_how_to_get_gift_cards,TID_ANIMATION_SendLetter,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step70: Letters explained3,home,150,,,6,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step71: Letters explained4,home,150,,,7,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,20,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step72: Fishing boat unlocked,home,270,,,72,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step73: Fishing boat fixed,home,270,,,73,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step74: Fishing welcome,fishing,270,,,74,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,,,,InstantComplete,,,,,,,,20,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step75: Fishing 101,fishing,270,,,75,,,,tutorial_how_to_fish,TID_TUTORIAL_FISHING_4,,sc/fishing_humans.sc,pop_up_fisherman,,,,,,InstantComplete,,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step76: Fishing practice,fishing,270,,,76,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,,,InstantComplete,,,,,,,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step77: Fishing fail,fishing,270,,,77,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,,,InstantComplete,,,,,,,,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step78: Fishing hut,fishing,270,,,78,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,5000,,Step75: Fishing 101,,,InstantComplete,,,,,30,-90,,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step79: Fishing lure maker,fishing,270,,,79,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,,,InstantComplete,,,,,,,,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step80: Fishing baits,fishing,270,,,80,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,,,InstantComplete,,,,,,,,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step52b: Double tap AB test,home,70,,,60,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step81: Fishing net maker unlocked,fishing,300,,,87,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,Step81b: Net maker unlocked,Step75: Fishing 101,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step82: Fishing repair net maker,fishing,300,,,88,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,,,InstantComplete,,,,,,-70,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step83: Fishing nets,fishing,300,,,89,,,Step82: Fishing repair net maker,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,,,InstantComplete,,,,,,,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step84: Fishing mystery net,fishing,300,,,90,,,Step83: Fishing nets,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,,,InstantComplete,,,,,,,MysteryNet,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step85: Fishing lobster pool unlocked,fishing,440,,,91,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,Step85b: Lobster pool unlocked,Step75: Fishing 101,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step86: Fishing repair lobster pool,fishing,440,,,92,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,,,InstantComplete,,,,,,-70,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step87: Fishing lobster info,fishing,440,,,93,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,,,InstantComplete,,,,,,,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step88: Fishing lobster harvested,fishing,440,,,94,,,,,,,sc/fishing_humans.sc,pop_up_fisherman,,,Step75: Fishing 101,,,InstantComplete,,,,,,-70,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step81b: Net maker unlocked,home,300,,,85,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step85b: Lobster pool unlocked,home,440,,,89,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LobsterFishing101_DO_NOT_RENAME,fishing,440,,,95,,,,tutorial_lobsters,TID_LOBSTER_TUTORIAL_TITLE,,sc/fishing_humans.sc,pop_up_fisherman,,,,,,InstantComplete,,,,,,,,18,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step52c: Double tap AB test,home,70,,,60,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step89: Neighborhood building repair,home,100,,,81,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step90: Neighborhood create or join,home,100,,,82,,,Step89: Neighborhood building repair,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step91: Welcome to chat,home,100,,,83,,,Step90: Neighborhood create or join,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step92: Neighborhood invite,friend,100,,,84,,,Step91b: Please visit friend and invite,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,13,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step52d: Double tap AB decision,home,10,,,60,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step91b: Please visit friend and invite,home,100,,,85,,,Step91: Welcome to chat,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,13,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step92b: Glowing invite button,friend,180,,,86,,,Step92: Neighborhood invite,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step93: Drasine unlocked,home,340,,,96,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,14,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step94: Drasine fixed,home,340,,,97,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,14,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step95: Train area welcome,train,340,,,98,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step96: Paint train station,train,340,,,99,,,,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step97: Tap first visitor,train,340,,,100,,,Step96: Paint train station,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,-100,,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step98: Place Grocery Store,train,340,,,101,,,Step97: Tap first visitor,,,,sc/humans.sc,scarecrow,1500,,,,,InstantComplete,,,,,,,,16,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step99: Grocery Store built,train,340,,,102,,,Step98: Place Grocery Store,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step100: Send to Grocery,train,340,,,103,,,Step99: Grocery Store built,,,,sc/humans.sc,scarecrow,,Step99: Grocery Store built,,,,InstantComplete,,,,,,-100,,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step101: Service video,train,340,,,104,,,Step100: Send to Grocery,tutorial_service_building,TID_TUTORIAL_SERVICE_BUILDING_TITLE,,sc/humans.sc,scarecrow,1500,,,,,InstantComplete,,,,,,,,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step102: Speed up service,train,340,,,105,,,Step101: Service video,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step103: Collect reward,train,340,,,106,,,Step102: Speed up service,,,,sc/humans.sc,scarecrow,,Step102: Speed up service,,,,InstantComplete,,,,,,-100,,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step104: Upgrade service building,train,340,,,107,,,Step103: Collect reward,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,13,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step105: Repair town hall,train,340,,2,108,,,Step104: Upgrade service building,,,,sc/humans.sc,scarecrow,1500,,,,,InstantComplete,,,,,,,,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step106: Town Hall listing,train,340,,,109,,,Step105: Repair town hall,,,,sc/humans.sc,scarecrow,,,,,,InstantComplete,,,,,,,,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step107: Train tutorial completed,train,340,,,110,,,Step106: Town Hall listing,,,,sc/humans.sc,scarecrow,3000,,,,,InstantComplete,,,,,,,,18,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
