Name,LocalizedName,FontScalingByWidestWord,FileName,Enabled,SystemFont,ForcedFontFullName,WordListName,HelpshiftSDKLanguage,HelpshiftSDKLanguageAndroid,HelpshiftMetadataLanguage,LevelUpHeaderImage,ReputationLevelUpHeaderImage,TermsOfServiceURL,PrivacyPolicyURL,ParentsGuideURL,BonusRoundHeaderImage,SelfHelpURL,ScidLoginPopupImage,SelfHelpDeleteAccountURL,SelfHelpDerbyURL,SelfHelpDerbyChampionsLeaderboardURL,ValueListURL
DA,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
SV,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
ID,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
RU,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
CH,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
CHT,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
JP,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
FI,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
KR,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
AR,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
MS,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
VI,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
TH,English,TRUE,localization/texts.csv,true,,,english,en,,EN,https://game-assets.haydaygame.com/static/Level+up/levelup_EN.png,https://game-assets.haydaygame.com/static/Reputation+level+up/rep_levelup_EN.png,https://supercell.com/en/terms-of-service,https://supercell.com/en/privacy-policy,https://supercell.com/en/parents,,https://ingame.help.supercellsupport.com/hay-day/en/index.html,https://game-assets.haydaygame.com/static/inbox_messages/header_images/SCID_Statue/login_illustration_scid_statue.png,https://ingame.help.supercellsupport.com/hay-day/en/articles/gdpr-request-deletion-of-your-personal-data.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/about-the-derby.html,https://ingame.help.supercellsupport.com/hay-day/en/articles/champions-league-leaderboard.html,https://support.supercell.com/hay-day/en/articles/info-hd.html
